Question,A,B,C,D,Answer
The price of sugar per kg increased from Rs 16 to Rs 20 The percentage reduction in the use of sugar so that the expenditure does not increase should be ,15%,20%,25%,40%,B
If 50 of x y 30 of x y then what percent of x is y ,25%,,40%,400%,A
In a History examination the average for the entire class was 80 marks If 10 of the students scored 90 marks and 20 scored 90 marks what was the average marks of the remaining students of the class ,65.5,72.5,75,85,C
The population of a town is 4 2 10,4633628,4853625,5253495,5853615,B
A s marks in Biology are 20 less than 25 of the total marks obtained by him in Biology Maths and Drawing If his marks in Drawings be 50 what are his marks in Maths ,40,45,50,Cannot be determined,D
If x 63 of y then y,125%,200%,250%,350%%,C
A number is first decreased by 10 and then increased by 10 The number so obtained is 50 less than the original number The original number is ,5000,5050,5500,5900,A
A city has a population of 300000 out of which 180000 are males 50 of the population is literate If 70 of the males are literate then the percentage of female who are literate is ,20%,25%,35%,45%,A
The price of an articles was increased by r Later the new price was decreased by r If the latest price was Rs 1 then the original price was ,Rs. 1,,,,D
Fresh grapes contain 80 percent water while dry grapes contain 10 percent water If the weight of dry grapes is 250 kg what was its total weight when it was fresh ,1000 kg,1100 kg,1125 kg,1225 kg,C
When income tax is 3 paise in a rupee a person s net income is Rs 237650 What will it be when the income tax is raised to 7 paise ,Rs. 233000,Rs. 231650,Rs. 227850, None of these,C
In a certain month a base ball team that played 60 games had won 30 of its games played After a phenomenal winning streak this team raised its average to 50 How many games must the team have won in a row to attain this average ,12,20,24,30,C
,50%,60%,75%,90%,D
Two successive price increases of 10 each on an article are equivalent to a single price increase of ,19%,20%,21%,22%,C
The current birth rate per thousand is 32 whereas the corresponding death rate is 11 per thousand The net growth rate in terms of population increase in percent is given by ,0.00%,0.02%,2.10%,21%,C
A reduction of 21 in the price of wheat enables a person to buy 10 5 kg more for Rs 100 What is the reduced price per kg ,Rs. 2,Rs. 2.25,Rs. 2.30,Rs. 2.50,A
If X is 90 of Y then what percent of X is Y ,$$90\%$$,,,$$190\% $$,C
30 apples out of 450 are rotten How many apples are in good condition ,125,180,240,315,D
Find the value ,600,650,700,750,D
If A s salary is 25 more than B s salary then B s salary is how much lower than A s salary ,,25%,20%,,C
Population of a town increase 2 5 annually but is decreased by 0 5 every year due to migration What will be the percentage increase in 2 years ,5%,4.04%,4%,3.96%,B
In an election between two candidates the winner got 65 of the total votes cast and won the election by a majority of 2748 votes What is the total number of votes cast if no vote is declared invalid ,8580,8720,9000,9160,D
Last year the population of a town was x and if it increases at the same rate next year it will be y the present population of the town is ,,,,$$\sqrt {xy} $$,D
Narayan spends 30 of his income on education and 50 of the remaining on food He gives Rs 1000 as monthly rent and now has Rs 1800 left with him What is his monthly income ,Rs. 8000,Rs. 7000,Rs. 9000,Rs. 6000,A
A and B are two fixed points 5 cm apart and C is a point on AB such that AC is 3cm if the length of AC is increased by 6 the length of CB is decreased by ,6%,7%,8%,9%,D
The cost of an article was Rs 75 The cost was first increased by 20 and later on it was reduced by 20 The present cost of the article is ,Rs. 72,Rs. 60,Rs. 75,Rs. 76,A
The price of the sugar rise by 25 If a family wants to keep their expenses on sugar the same as earlier the family will have to decrease its consumption of sugar by ,25%,20%,80%,75%,B
Each side of a rectangular field diminished by 40 By how much per cent is the area of the field diminished ,32%,64%,25%,16%,B
If the price of a commodity is decreased by 20 and its consumption is increased by 20 what will be the increase or decrease in expenditure on the commodity ,4%  increase,4% decrease,8%  increase, 8% decrease,B
