Question,A,B,C,D,Answer
In a shop 80 of the articles are sold at a profit of 10 and the remaining at a loss of 40 What is the overall profit loss ,10% profit,10% loss,5% loss,No profit no loss,D
I purchased 120 exercise books at the rate of Rs 3 each and sold frac 1 3 of them at the rate of Rs 4 each frac 1 2 of them at the rate of Rs 5 each and the rest at the cost price My profit percent is ,44%,$$44\frac{2}{3}$$%,$$44\frac{4}{9}$$%,45%,C
Ravi buys some toffees at 2 for a rupee and sells them at 5 for a rupee His loss percent is ,120%,90%,30%,60%,D
If the total cost of 73 articles having equal cost is Rs 5110 and the total selling price of 89 such articles is Rs 5607 then in the transaction there will be ,A loss of 15%,A gain of 10%,A loss of 10%,A gain of 15%,C
A shopkeeper sells an article at 12 frac 1 2 loss If he sells it for Rs 92 50 more than he gains 6 What is the cost price of the article ,Rs. 500,Rs. 510,Rs. 575,Rs. 600,A
A sells a cycle to B at a profit of 10 B sells to C at a profit of 20 If C pays Rs 264 for it how much did A pay for it ,Rs. 200,Rs. 220,Rs. 225,Rs. 234,A
A sold a tape recorder to B for Rs 4860 at a loss of 19 Again B sold it to C at price that would give A a profit of 17 The gain of B is ,$$22\frac{2}{9}\% $$,$$33\frac{1}{3}\% $$,$$44\frac{4}{9}\% $$,$$66\frac{2}{3}\% $$,C
A dishonest fruit vendor sells his goods at cost price but they uses a weight of 900 gm for the 1 kg weight His gain percent is ,12%,$$11\frac{1}{9}$$%,$$10\frac{1}{9}$$%,10%,B
A man sells a book at a profit of 20 If he had bought it at 20 less and sold it for Rs 18 less he would have gained 25 The cost price of the book is ,Rs. 60,Rs. 70,Rs. 80,Rs. 90,D
The cost price of a radio is Rs 600 The 5 of the cost price is charged towards transportation After adding that if the net profit to be made is 15 then the selling price of the radio must be ,Rs. 704.50,Rs. 724.50,Rs. 664.50,Rs. 684.50,B
A shopkeeper purchased a TV for Rs 2000 and a radio for Rs 750 He sells the TV at a profit of 20 and the radio at a loss of 5 The total loss or profit is ,Gain Rs. 352.50,Gain Rs. 362.50,Loss Rs. 332,Loss Rs. 300,B
A fruit seller buys 240 apples for Rs 600 Some of these apples are rotten and are thrown away He sells the remaining apples at Rs 3 50 each and makes a profit of Rs 198 The of apples thrown away are ,6%,5%,4%,7%,B
A tradesman marks his goods 30 above the C P If he allows a discount of 6 frac 1 4 then his gain percent is ,$$21\frac{7}{8}$$%,22%,$$23\frac{3}{4}$$%,None of these,A
A shopkeeper earns a profit of 12 on selling a book at 10 discount on the printed price The ratio of the cost price and the printed price of the book is ,45 : 56,50 : 61,99 : 125,None of these,A
A bookseller sells a book at a profit of 10 If he had bought it at 4 less and sold it for Rs 6 more he would have gained 18,Rs. 130,Rs. 140,Rs. 150,Rs. 160,C
A watch is sold at a profit of 20 If both the cost price and the selling price of the watch are decreased by Rs 100 the profit would be 5 more Original cost price of the watch is ,Rs. 450,Rs. 500,Rs. 550,Rs. 600,B
A sells a suitcase to B at 10 profit If B pays Rs 2860 for it then the price of which A bought is ,Rs. 1000,Rs. 1600,Rs. 2600,Rs. 2500,C
A sells a cycle to B at a profit of 20 and B sells it to C at a loss of 25 If C bought the cycle for Rs P then the cost price of it for A was ,"$${\text{Rs}}{\text{.}}\,\frac{1}{{20}}{\text{P}}$$","$${\text{Rs}}{\text{.}}\,\frac{9}{{20}}{\text{P}}$$","$${\text{Rs}}{\text{.}}\,\frac{9}{{10}}{\text{P}}$$","$${\text{Rs}}{\text{.}}\,\frac{{10}}{9}{\text{P}}$$",D
A man buys a cycle for Rs 1400 and sells it at a loss of 15 What is the selling price of the cycle ,Rs. 1202,Rs. 1190,Rs. 1160,Rs. 1000,B
A grocer professes to sell goods at the cost price but uses false weights He gains frac 100 9 in this manner He uses a weight of,950gms,900gms,930gms,940gms,B
Find the difference of amount if 40 discount is given on Rs 500 and two consecutive discounts 30 and 10 are given on the same amount ,Rs. 15,Rs. 0,Rs. 20,Rs. 10,A
A trader marks his goods 40 above cost price and allows a discount of 25 The profit he makes is ,15%,10%,5%,2%,C
With a 5 discount on the cost of sugar a buyer could purchase 2 kg more sugar for Rs 608 Selling Price of Sugar is ,Rs. 15.20,Rs. 15,Rs. 16.50,Rs. 2,A
A fruit seller buys some oranges and by selling 40 of them he realizes the cost price of all the oranges As the oranges being to grow over ripe he reduces the price and sells 80 of the remaining oranges at half the previous rate of profit The rest of the oranges being rotten are thrown away The overall percentage of profit is ,80,84,94,96,B
By selling 80 ball pens for Rs 140 a retailer losses 30 How many ball pens should he sell for Rs 104 so as to make a profit of 30 ,32,52,48,42,A
By selling 12 kg of potatoes for 63 a shopkeeper gains 5 What does his gain or loss percent by selling 50 kg of the same potatoes for 247 50 ,1% profit,1% loss,No profit no loss,2.5% profit,B
If on a marked price the difference of selling prices with a discount of 30 and two successive discounts of 20 and 10 is Rs 72 then the marked price in Rs is,2400,2500,3000,3600,D
An article is listed at Rs 900 and two successive discounts of 8 and 8 are given on it How much would the seller gain or lose if he gives a single discounts of 16 instead of two discounts ,Gain of Rs. 4.76,Loss of Rs. 5.76,Loss of Rs. 4.76,Gain of Rs. 5.76,B
By selling 14 watches of equal cost price at the rate of Rs 450 each there is profit equal to the cost price of 4 watches The cost price of the watch is ,Rs. 350,Rs. 360,Rs. 375,Rs. 400,A
A cloth merchant sold half of his cloth at 40 profit half of remaining at 40 loss and the rest was sold at the cost price In the total transaction his gain or loss will be ,20% gain,25% loss,10% gain,15% loss,C
A man purchased 150 pens at the rate of Rs 12 per pen He sold 50 pens at a gain of 10 The percentage gain at which he must sell the remaining pens so as to gain 15 on the whole outlay is ,$$21\frac{1}{2}$$%,20%,17%,$$17\frac{1}{2}$$%,D
From 2008 to 2009 the sales of a book decreased by 80 If the sales in 2010 were the same as in 2008 by what percent did it increase from 2009 to 2010 ,120%,400%,80%,100%,B
A trader marked the price of a product in such a way that it is 20 more than the cost price If he allows 10 discount on the marked price to the customer then his gain is ,8%,10%,15%,20%,A
A trader marked the price of his commodity so as to include a profit of 25 He allowed discount of 16 on the marked price His actual profit was ,5%,9%,16%,25%,A
If by selling an article for Rs 390 a shopkeeper gains 20 then the cost is ,Rs. 370,Rs. 325,Rs. 350,Rs. 300,B
In terms of percentage profit which is the best transaction ,i,ii,iii,iv,D
A company offers three types of successive discounts,First offer,Second offer,Third offer,"Any one,all are equally good",C
On a Rs 1000 payment order a person has choice between 3 successive discounts of 10 10 and 30 and 3 successive discounts of 40 5 and 5 By choosing the better one he can save in rupees ,200,255,400,433,B
A shopkeeper gives two successive discounts on an article marked Rs 450 The first discount given is 10 If the customer pays Rs 344 25 for the article the second discount given is ,10%,12%,14%,15%,D
A style cloth emporium the shopkeeper measures 20 less for every metre of cloth also he marks up goods by 20 What is the profit percentage ,50%,65%,75%,85%,A
A traders sells two acrticles one at a loss of 10 and another at a profit of 15 but finally there is no loss or gain If the total sale price of these two articles is Rs 30 000 find the difference between their cost prices ,Rs. 5000,Rs. 6000,Rs. 7500 ,Rs. 8500,B
The difference between a discount 40 on Rs 500 and two successive discounts of 30 and 10 the same amount is ,Rs. 20,Rs. 10,Rs. 15,Rs. 0,C
A person having bought goods for Rs 400 sells half of it at a gain of 5 at what gain must he sell the remainder so as to gain 20 on the whole ,30%,32%,34%,35%,D
Find the difference of amount if 40 discount is given on Rs 500 and two consecutive discount 30 and 10 are given on the same amount ,Rs. 15,Rs. 0,Rs. 20,Rs. 10,A
An item when sold for Rs 1690 earned 30 profit on the cost price Then the cost price is ,Rs. 507,Rs. 630,Rs. 1300,Rs. 130,C
A bought an article paying 5 less than the original price A sold it with 20 profit on the price he had paid What percent of profit did A earn on the original price ,10,13,14,$$\frac{{17}}{2}$$,C
A shop gives 10 discount on the purchase of an item If paid for in cash immediately a further discount of 12 is given If the original price of the item is Rs 250 what is the price of the article if a cash purchase is made ,Rs. 190,Rs. 195,Rs. 198,Rs. 200,C
Find the selling price of an article if a shopkeeper allows two successive discounts of 5 each on the marked price of Rs 80 ,Rs. 70.10,Rs. 70.20,Rs. 72,Rs. 72.20,D
Two items A and B are sold at a profit of 10 and 15 respectively If the amount of profit received is the same then the cost price of A and B may be ,"Rs. 1000, Rs. 1500","Rs. 5000, Rs. 2000","Rs. 3000, Rs. 2000","Rs. 3000, Rs. 5000",C
A shopkeeper allows 25 discount on his advertised price and to make a profit 25 on his outlay What is the advertised price in Rs on which he gains Rs 6000 ,Rs. 36000,Rs. 40000,Rs. 39000,Rs. 42500,B
Due to 25 fall in the rate of eggs one can buy 2 dozen eggs more than before by investing Rs 162 The the original rate per dozen of the eggs is ,Rs. 22,Rs. 24,Rs. 27,Rs. 30,C
Last year Mr A bought two paintings This year he sold them for Rs 20000 each On one he made a 25 profit and of the other he had a 25 loss Then his net profit or loss is ,He loss more then Rs. 2000,He loss more than Rs. 2000,He earned more than Rs. 2000,He earned less than Rs. 2000,A
The profit earned by selling a article at Rs 5520 is equal to the loss incurred on selling the same article at Rs 4080 What will be percent profit if the article is sold at Rs 6000 ,20%,12%,25%,15%,C
Rajlani sold a machine for Rs 22000 with a discount of 8 on the labeled price and made a profit of 22 frac 2 3 What would have been the profit percent if the machine was sold without discount on the label price ,$$36\frac{1}{3}$$,$$30\frac{2}{3}$$,$$27\frac{1}{3}$$,$$33\frac{1}{3}$$,D
A man buys a toy for Rs 25 and sells it for Rs 30 His gain percent is ,20%,10%,5%,2.5%,A
A dealer sold an article at 6 more he would have made a profit of 10 Then the cost of the article is ,Rs. 400,Rs. 200,Rs. 164,Rs. 464,A
After successive discounts of 12 and 5 an article was sold for Rs 209 What was the original price of the article ,Rs. 226,Rs. 250,Rs. 252,Rs. 269,B
Two stories A and B mark the price of an item identically A allows 3 successive discounts of 10 each B allows 10 discount on the list price and a subsequent discount of 19 Under the circumstances which of the following is true ,The price of the article is cheaper at A,The price of the article is cheaper at B,The price of the article is same at A and B,The price cannot be determined,C
By selling 4 articles for 1 rupee a man losses 4 Had he sold three articles per rupee the profit would have been ,30%,28%,16%,12%,B
A dealer marks a washing machine for Rs 7500 and allows a discount of 6 on it Find the selling price ,Rs. 6850,Rs. 7050,Rs. 7250,Rs. 6950,B
The marked price of an article is 30 higher than the cost price If a trader sells the articles allowing 10 discount to customer then the gain percent will be ,17%,20%,19%,15%,A
A merchant marked the price of an article by increasing its production cost by 40 Now he allows 20 discount and gets a profit of Rs 48 after selling it The production cost is ,Rs. 320,Rs. 360,Rs. 400,Rs. 440,C
A dealer marked the price of an item 40 above the cost price He allowed two successive discounts of 20 and 25 to a particular customer As a result he incurred a loss of Rs 448 At what price did he sell the item to the said customer ,Rs. 2416,Rs. 2352,Rs. 2268,Rs. 2152,B
The marked price is 10 higher than the cost price A discount of 10 is given on the marked price In this kind of sale the seller ,Gain 2%,"Bears no loss, no gain",Gain 1%,Loses 1%,D
If a man estimates his loss as 20 of the selling price then his loss percent is ,20%,25%,$$\frac{{40}}{3}$$%,$$\frac{{50}}{3}$$%,D
A person sold a TV for Rs 9400 then he lost a particular amount When he sold another TV of the same type at Rs 10600 his gain was double the former loss What was the cost price of each TV ,Rs. 9800,Rs. 10000,Rs. 10200,Rs. 10400,A
A person bought 50 pens for Rs 50 He sold 40 of them at a loss of 5 He wants to gain 10 on the whole Then his gain percent on the remaining pens should be ,15%,40%,50%,70%,D
A person first increases the price of a commodity by 10 and then he announces a discount of 15 The actual discount on the original price is ,5%,6.5%,7.5%,12.5%,B
Raman bought a camera and paid 20 less than its original price He sold it at 40 profit on the price he had paid The percentage of profit earned by Raman on the original price was ,12%,15%,22%,32%,A
Pawan kaul earns 15 percent on an investment but loses 10 percent on another investment If the ratio of two investments is 3 5 then the combined loss percent is ,$$ - \frac{5}{4}\% $$,$$ - \frac{4}{5}\% $$,$$ - \frac{8}{5}\% $$,$$ - \frac{5}{8}\% $$,D
A trader sells two bullocks for Rs 8400 each neither losing nor gaining in total If he sold of one of the bullocks at a gain of 20 the other is sold at a loss of ,20%,$${\text{18}}\frac{2}{9}$$%,$${\text{14}}\frac{2}{7}$$%,21%,C
By selling an article at frac 3 4 of selling price a trader incurred a loss of 10 The Profit loss percentage when it is sold at the original selling price is ,20% loss,120% profit,32.50% loss,20% profit,D
A showroom owner sells a leather jacket for Rs x and claims to make a profit of 10 He plans to have a stall in the trade fair and marks the same jacket at Rs 2x At the stall he allows a discount of 20 What will be the percentage profit that he will make at the trade fair ,60%,76%,80%,86%,B
The price of an article by 30 and then two successive discounts of 10 each are allowed Ultimately the price of the article is ,Decreased by 5.3%,Increased by 3%,Increased by 5.3%,Decreased by 10%,C
A cloth merchant sold half of his cloth at 20 profit half of the remaining cloth at 20 loss and the rest was sold at its cost price In the total transaction his gain or loss will be ,5% profit,Neither loss nor gain,5% loss,10% profit,A
The difference between the selling price of an article at a profit of 15 and at a profit of 10 is Rs 10 The cost price of the article is ,Rs. 100,Rs. 120,Rs. 150,Rs. 200,D
An article was sold for Rs y after giving a discount of x Then its list price is ,$$\frac{{100y}}{{100 - x}}$$,$$\frac{{100y}}{{1 - x}}$$,$$\frac{{100y}}{{1 - \left( {x/100} \right)}}$$,None of these,A
Jatin bought a refrigerator with 20 discount on the labelled price Had he bought it with 25 discount he would have saved Rs 500 At what price did he buy the refrigerator ,Rs. 5000,"Rs. 10,000","Rs. 12,500","Rs. 15,000",B
The difference between the selling price and cost price of an article is Rs 210 If the profit percent is 25 then the selling price of the article is ,Rs. 950,Rs. 1050,Rs. 1150,Rs. 1250,B
A dishonest shopkeeper professes to sell goods at his cost price but uses a false weight of 950 gms for each kilogram His gain percentage is ,$$11\frac{1}{9}\% $$,$$9\frac{1}{{11}}\% $$,$$10\% $$,$$\frac{{100}}{{19}}\% $$,D
The selling price of 6 bananas is equal to the cost price of 8 bananas Then the percentage of profit is ,20%,$$33\frac{1}{3}$$%,25%,30%,B
A fan listed at Rs 150 with a discount of 20 What additional discount must be offered to the customer to bring the net price to Rs 108 ,$$11\frac{1}{9}$$%,15%,8%,None of these,D
A merchant marks his goods at 25 above the cost price Due to a slump in the market his cost reduces by 5 He thus offers a discount of 8 due to which the sales go up by 25 Compute the change in the merchant s profit ,5% higher,$$7\frac{1}{2}$$% higher,8% lower,Unchanged,D
Aditya a trader sells an item to a retailer at 20 discount but charges 10 on the discounted price for delivery and packaging The retailer sells it for Rs 2046 more thereby earning a profit of 25 At what price had the trader marked the item ,Rs. 9400,Rs. 9000,Rs. 8000,Rs. 9300,D
Cost price of 28 articles is equal to selling price of 21 articles then percentage of profit is ,12%,$$33\frac{1}{3}$$%,20%,22%,B
If the ratio of cost price and selling price be 10 11 then find the profit percent ,1%,10%,5%,8%,B
If the cost price of 25 pens is equal to the selling price of 20 pens then profit percent is ,20%,25%,15%,5%,B
A box is bought of Rs 75 and sold at a gain of 8 Find its selling price ,Rs. 81,Rs. 82,Rs. 89,Rs. 86,A
Oranges are bought at 5 for Rs 10 and sold at 6 for Rs 15 The gain percentage is ,50%,40%,35%,25%,D
A merchant buys an article for Rs 27 and sells it at a profit of 10 percent of the selling price The selling price of the article is ,Rs. 29.70,Rs. 30,Rs. 32,Rs. 37,B
By selling an article a man makes a profit of 25 of its selling price His profit percent is ,$$16\frac{2}{3}$$,20,25,$$33\frac{1}{3}$$,D
An article was sold at Rs 950 allowing 5 discount on the marked price The marked price of the article was ,Rs. 960,Rs. 1000,Rs. 955,Rs. 945,B
A manufacturer fixes his selling price 33 frac 1 3 over the cost of production If cost of production goes up by 12 and manufacturer raises his selling price by 10 his percentage profit is ,$$36\frac{5}{9}$$%,$$30\frac{20}{21}$$%,35%,$$28\frac{3}{8}$$%,B
If there is a profit of 20 on the cost price of an article the percentage of profit calculated on its selling price will be ,$$8\frac{1}{3}$$,$$16\frac{2}{3}$$,20,24,B
A shopkeeper advertises for selling cloth at 4 loss However by using a false meter scale he actually gains 20 What is the actual length of the scale ,70 cm,75 cm,80 cm,90 cm,C
A trader professes to sell his goods at a nominal gain percentage but actually earns 37 frac 1 2 profit by using false weight If for a kg he uses a weight of 800 gm what is the nominal gain percentage at which he claims to be selling his goods ,8%,10%,15%,20%,B
A stockist wants to make some profit by selling sugar He contemplates about various methods Which of the following would maximize his profit ,Sell sugar 10% profit,Use 900 g of weight instead of 1 kg,Mix 10% impurities in sugar and sell sugar at cost price,Increase the price by 5% and reduce the weight by 5%,B
A shopkeeper marks his goods 15 above the cost price but allows 20 discount for cash His net loss is ,3%,5%,8%,10%,C
A trader allows a discount of 10 on the marked price He still has a profit of 17 on the cost price Find the profit percentage If he sells at the marked price ,27%,33%,30%,19%,C
Left pan of a faculty balance weighs 100 gms more than its right pan A shopkeeper keeps the weight measure in the left pan while buying goods but keeps it in the right pan while selling his goods He uses only 1 kg weight measure If he sells his goods at the listed cost price what is his gain ,$$\frac{{100}}{{11}}$$%,$$\frac{{200}}{{11}}$$%,$$\frac{{100}}{{9}}$$%,$$\frac{{200}}{{9}}$$%,D
A dishonest dealer sells the goods at 20 loss on cost price but uses 15 less weight What is his percentage profit or loss ,$$5\frac{{11}}{{17}}$$ % loss,$$5\frac{{15}}{{17}}$$ % loss,$$5\frac{{15}}{{17}}$$ % gain,$$5\frac{{11}}{{17}}$$ % gain,B
While selling to the retailer a company allows 30 discount on the marked price of their products If the retailer sells those products at marked price his profit will be ,30%,$$\frac{{17}}{2}$$%,40%,$$42\frac{6}{7}$$%,D
A trader marked the price of a commodity so as to include a profit of 25 but allow discount of 16 on the marked price His actual profit will be ,16%,25%,5%,9%,C
A got 30 concession on the label price of an article and sold for Rs 8750 with 25 profit on the price he bought The label price was ,Rs. 13000,Rs. 16000,Rs. 12000,Rs. 10000,D
A car worth Rs 150000 was sold by x to y at 5 profit Y sold the car back to X at 2 loss In the entire transaction ,x gained Rs. 4350,x lost Rs. 4350,x gained Rs. 3150,x lost Rs. 3150,C
An article passing through two hands is sold at a profit of 38 at the original cost price If the first dealer makes a profit of 20 then the profit percent made by the second is ,5,10,12,15,D
A dealer buys an article listed at Rs 100 and gets successive discount of 10 and 20 He spends 10 of the cost price on transportation At what price should he sell the article to earn a profit of 15 ,Rs. 90.80,Rs. 92.00,Rs. 91.20,Rs. 91.08,D
Allowing 20 and 15 successive discounts the selling price of an article becomes Rs 3060 then the marked price will be ,Rs. 4400,Rs. 5000,Rs. 4500,Rs. 4000,C
List price of a book is Rs 100 A dealer sells three such books for Rs 274 50 after allowing discount at a certain rate find the rate of discount ,8.33%,8.16%,8.50%,8.34%,C
If selling price of an article is reduced by 60 then there is a loss of 10 on cost price The initial profit percent was ,70%,80%,100%,125%,D
If the cost price is 95 of the selling price what is the profit percent ,4%,4.75%,5%,5.26%,D
Successive discounts of 10 12 and 15 amount to a single discount of ,32.68%,35.28%,36.68%,None of these,A
A discount series of p and q on an invoice is the same as a single discount of ,$$\left[ {p + q + \frac{{pq}}{{100}}} \right]\% $$,$$\left[ {p - q + \frac{{pq}}{{100}}} \right]\% $$,$${\text{100 - }}\left[ {p + q + \frac{{pq}}{{100}}} \right]\% $$,None of these,D
If the cost price is 90 of the selling price what is the profit percent ,4%,4.75%,5%,$$11\frac{1}{9}$$%,D
By mixing two brands of tea and selling the mixture at the rate of Rs 177 per kg a shopkeeper makes a profit of 18 If to every 2 kg of one brand costing Rs 200 per kg 3 kg of the other brand is added then how much per kg does he other brand cost ,Rs. 110,Rs. 120,Rs. 140,None of these,D
A milkman cheats his customer in two ways He mixes 10 water in pure milk and increases the price of milk by 10 He purchases 20 kg pure milk at a rate of Rs 15 per kg His total profit by selling it is ,Rs. 40,Rs. 63,Rs. 80,Rs. 100,B
A shopkeeper earns a profit of 12 on selling a book at 10 discount on the printed price The ratio of the cost price and the printed price of the book is ,99 : 125,25 : 37,50 : 61,45 : 56,D
A tradesman allows a discount of 15 on the marked price How much above the cost price must he mark his goods as to gain 19 ,34%,40%,25%,30%,B
A shopkeeper allows 23 commission on his advertised price and still makes a profit of 10 If he gains Rs 56 on one item his advertised price of the item in Rs is ,820,780,790,800,D
A fruit seller professes to sell his fruits at cost price but still gains 25 on his outlay What weight does he substitute for a kilogram ,800 gm,850 gm,890 gm,900 gm,A
A shopkeeper cheats to the extent of 10 while buying as well as selling by using false weights His total gain is ,10%,11%,20%,21%,D
How much percent above the cost price should a shopkeeper marks his goods so as to earn a profit of 32 after allowing a discount of 12 on the marked price ,50%,40%,60%,45%,A
A dealer purchased a washing machine for Rs 7660 After allowing a discount of 12 on its marked price he still gains 10 Find the marked price of the washing machine ,Rs. 9575,Rs. 8426,Rs. 8246,Rs. 9755,A
A publisher printed 2000 copies of a book at a cost of Rs 70000 He distributes 400 copies free as specimen copies He ave 30 discount on marked price of each book which is Rs 75 What is his gain or loss percent age ,20% gain,20% loss,10% loss,10% gain,A
A clock was sold for Rs 144 If the percentage of profit was numerically equal to the cost price the cost of the clock was ,Rs. 72,Rs. 80,Rs. 90,Rs. 100,B
The marked price of a CD is Rs 250 It is sold for Rs 225 The rate of discount is ,$$11\frac{1}{9}$$%,25%,2.5%,10%,D
A house was sold for Rs by giving a discount of x then the list price was ,$$\frac{{100y}}{{1 - x}}$$,$$\frac{{100x}}{{100 - y}}$$,$$\frac{{100y}}{{100 - x}}$$,$$\frac{{100x}}{{100 - x}}$$,C
How much percentage above the cost price should a shopkeeper mark on his goods so that after allowing a discount of 10 he should gain 26 ,140%,25%,16%,40%,D
By selling an article at frac 2 3 of the marked price there is a loss of 10 The profit percent when the article is sold at the marked price is ,20%,30%,35%,40%,C
What is the sum of all two digit numbers that gives a remainder of 3 when they are divided by 7 ,666,676,683,777,B
The remainder when 15,4,15,0,18,C
A heap of pebbles when made up into group of 32 40 72 leaves the remainder 10 18 and 50 respectively Find least number of pebbles in the heaps ,1440,1420,1418,1422,C
The sum of two numbers is 684 and their HCF is 57 Find all possible pairs of such numbers ,"(57,627)(285,399)","(37,575)(270,390)","(45,495)(30,330)","(45,575)(280,890)",A
Two numbers are in the ratio 3 4 If their LCM is 240 the smaller of two number is,100,80,60,50,C
If a man were to sell his handcart for Rs 720 he would loss 25 To gain 25 the selling price is ,Rs. 960,Rs. 1200,Rs. 1000,Rs. 2100,B
A grocery dealer cheats to the extent of 10 while buying as well as selling by using false weight What is his increase in the profit percentage ,20%,21%,22%,None of these,B
A book vendor sold a book at loss of 10 Had he sold it for Rs 108 more he would have earned a profit of 10 Find the cost of the book ,Rs. 442,Rs. 540,Rs. 648,Rs. 740,B
By selling an article at some price a man gains 10 If the article is sold at twice of the price the gain percent will be ,20%,60%,100%,120%,D
If loss is frac 1 3 of S P the loss percentage is ,$$16\frac{2}{3}$$%,20%,25%,$$33\frac{1}{3}$$%,C
If the selling price of an article is doubled then its loss profit percent is converted into equal profit percent The loss percent on the article is ,$$26\frac{2}{3}$$ %,33 %,$$33\frac{1}{3}$$ %,34 %,C
If an article sold at 200 profit then the ratio of its cost price to his selling price will be ,1 : 2,2 : 1,1 : 3,3 : 1,C
A fruit seller makes a profit of 20 by selling mangoes at a certain price If he charges Rs 1 more for each mango he can make a profit of 40 Find the selling price of a mango in the first case ,Rs. 6,Rs. 5,Rs. 5.50,Rs. 7,A
If selling price of an article is ,$$16\frac{2}{3}$$ %,$$20\frac{1}{2}$$ %,$$25\frac{1}{2}$$ %,$$33\frac{1}{3}$$ %,D
If an article is sold for Rs x there is a loss of 15 If the same article is sold for Rs y there is a profit of 15 The ratio of left y x to y x is ,3 : 20,20 : 3,17 : 23,20 : 23,A
Find the least number which will leaves remainder 5 when divided by 8 12 16 and 20 ,240,245,265,235,B
7,13,127,559,All of these,D
After the division of a number successively by 3 4 and 7 the remainder obtained is 2 1 and 4 respectively What will be remainder if 84 divide the same number ,80,75,42,53,D
Find the remainder when 2,1,16,14,None of these,A
Find the remainder when 4,0,2,3,4,D
